ticker,start_date,end_date,period_months,cumulative_return,sp500_return,abnormal_return,sue,surprise,reported_eps,eps_estimate
TSLA,4/20/23,5/20/23,1,0.0912,0.0156,0.0757,0,0,0.85,0.85
TSLA,4/20/23,6/20/23,2,0.6625,0.0645,0.598,0,0,0.85,0.85
TSLA,4/20/23,7/20/23,3,0.5926,0.1011,0.4915,0,0,0.85,0.85
AMD,2/5/25,3/5/25,1,-0.0771,-0.0384,-0.0387,0.7802,0.01,1.09,1.08
AMD,2/5/25,4/5/25,2,-0.067,-0.072,0.005,0.7802,0.01,1.09,1.08
AMD,2/5/25,5/5/25,3,-0.067,-0.072,0.005,0.7802,0.01,1.09,1.08
AMD,10/30/24,11/30/24,1,-0.0478,0.0596,-0.1075,0,0,0.92,0.92
AMD,10/30/24,12/30/24,2,-0.1501,0.0379,-0.188,0,0,0.92,0.92
AMD,10/30/24,1/30/25,3,-0.175,0.0676,-0.2426,0,0,0.92,0.92
AMD,7/31/24,8/31/24,1,0.1209,0.0381,0.0828,0.7802,0.01,0.69,0.68
AMD,7/31/24,9/30/24,2,0.238,0.0599,0.1781,0.7802,0.01,0.69,0.68
AMD,7/31/24,10/31/24,3,0.087,0.0504,0.0366,0.7802,0.01,0.69,0.68
AMD,5/1/24,6/1/24,1,0.1419,0.0442,0.0977,0.7802,0.01,0.62,0.61
AMD,5/1/24,7/1/24,2,0.0789,0.0833,-0.0044,0.7802,0.01,0.62,0.61
AMD,5/1/24,8/1/24,3,-0.0932,0.0787,-0.1719,0.7802,0.01,0.62,0.61
AMD,1/31/24,2/29/24,1,0.1293,0.0386,0.0907,0,0,0.77,0.77
AMD,1/31/24,3/31/24,2,0.0587,0.0726,-0.0138,0,0,0.77,0.77
AMD,1/31/24,4/30/24,3,-0.071,0.0293,-0.1003,0,0,0.77,0.77
AMD,11/1/23,12/1/23,1,0.1258,0.0658,0.06,1.5604,0.02,0.7,0.68
AMD,11/1/23,1/1/24,2,0.3671,0.1079,0.2592,1.5604,0.02,0.7,0.68
AMD,11/1/23,2/1/24,3,0.581,0.1403,0.4407,1.5604,0.02,0.7,0.68
AMD,8/2/23,9/2/23,1,-0.0327,0.0052,-0.0379,0.7802,0.01,0.58,0.57
AMD,8/2/23,10/2/23,2,-0.0873,-0.0446,-0.0427,0.7802,0.01,0.58,0.57
AMD,8/2/23,11/2/23,3,-0.047,-0.0369,-0.0101,0.7802,0.01,0.58,0.57
AMD,5/3/23,6/3/23,1,0.3608,0.0563,0.3046,3.1208,0.04,0.6,0.56
AMD,5/3/23,7/3/23,2,0.3373,0.0995,0.2378,3.1208,0.04,0.6,0.56
AMD,5/3/23,8/3/23,3,0.3064,0.112,0.1944,3.1208,0.04,0.6,0.56
PLTR,2/4/25,3/4/25,1,-0.1673,-0.0453,-0.122,3.0271,0.03,0.14,0.11
PLTR,2/4/25,4/4/25,2,-0.1646,-0.0688,-0.0958,3.0271,0.03,0.14,0.11
PLTR,2/4/25,5/4/25,3,-0.1646,-0.0688,-0.0958,3.0271,0.03,0.14,0.11
PLTR,11/5/24,12/5/24,1,0.2943,0.0264,0.2678,1.009,0.01,0.1,0.09
PLTR,11/5/24,1/5/25,2,0.4387,0.0049,0.4338,1.009,0.01,0.1,0.09
PLTR,11/5/24,2/5/25,3,0.8253,0.0257,0.7996,1.009,0.01,0.1,0.09
